ticker,fpedats,mean_forecast,std_forecast,num_analysts,actual_eps,anndats_act,SUE
ABBV,2022-09-30,3.6375,0.10507039388539866,74,3.66,2022-10-28,0.2141421495434855
ABBV,2022-12-31,3.7312365591397847,0.11629323860205096,93,3.6,2023-02-09,-1.128496899023243
ABBV,2023-03-31,2.6569074074074073,0.6102233203498633,54,2.46,2023-04-27,-0.3226808954048382
ABBV,2023-06-30,2.846550724637681,0.36483354529363926,69,2.91,2023-07-27,0.17391294243858899
ABBV,2023-09-30,2.8046483516483516,0.10825118666286962,91,2.95,2023-10-27,1.342725681191119
ADM,2000-03-31,0.14774285714285715,0.017932638506631526,7,0.1542,2000-04-17,0.36007767929716483
ADM,2000-06-30,0.16985454545454545,0.028415290378117332,11,0.1905,2000-07-21,0.7265614488090417
ADM,2000-09-30,0.12928181818181816,0.043105076688989157,11,0.1619,2000-10-19,0.7567132301730454
ADM,2000-12-31,0.17800000000000002,0.027557011610276048,19,0.1905,2001-01-19,0.4536050634510281
ADM,2001-03-31,0.208036,0.03598813322934844,25,0.1429,2001-04-23,-1.8099299450987187
ADM,2001-06-30,0.21623461538461536,0.046430231033736565,26,0.1333,2001-07-23,-1.7862201746175768
ADM,2001-09-30,0.15948666666666667,0.04517884882278853,15,0.18,2001-10-22,0.45404727804809086
ADM,2001-12-31,0.23223809523809522,0.04379458272652538,21,0.23,2002-01-23,-0.0511043854914878
ADM,2002-03-31,0.201412,0.032887007566312056,25,0.17,2002-04-23,-0.9551492313997278
ADM,2002-06-30,0.18107083333333332,0.022162256971210558,24,0.12,2002-07-24,-2.7556233741295477
ADM,2002-09-30,0.165,0.04636809247747851,14,0.17,2002-10-23,0.10783277320343854
ADM,2002-12-31,0.21000000000000002,0.0360555127546399,21,0.18,2003-01-24,-0.8320502943378443
ADM,2003-03-31,0.19583333333333333,0.029623238038473408,24,0.18,2003-04-23,-0.5344902982168821
ADM,2003-06-30,0.17458333333333334,0.03647264211965464,24,0.16,2003-07-24,-0.39984307376170497
ADM,2003-09-30,0.20909090909090908,0.037537859676477416,11,0.23,2003-10-31,0.5570134016509558
ADM,2003-12-31,0.24933333333333335,0.0312745141943922,15,0.37,2004-01-30,3.8583066683831415
ADM,2004-03-31,0.24526315789473685,0.02611266637149948,19,0.33,2004-04-30,3.245047476183769
ADM,2004-06-30,0.22782608695652176,0.03554210329622274,23,0.23,2004-07-30,0.06116444559737922
ADM,2004-09-30,0.27714285714285714,0.025634797778466226,7,0.41,2004-10-29,5.182687376950781
ADM,2004-12-31,0.40230769230769237,0.0481583925108674,13,0.41,2005-01-28,0.1597293283942517
ADM,2005-03-31,0.3942105263157895,0.04233671764342052,19,0.3,2005-04-29,-2.225267605988596
ADM,2005-06-30,0.31,0.03429285639896449,26,0.3,2005-07-29,-0.29160592175990246
ADM,2005-09-30,0.3175,0.039341165116545174,12,0.32,2005-10-28,0.0635466690575621
ADM,2005-12-31,0.3935294117647059,0.05061387858959589,17,0.54,2006-01-31,2.8938819216554252
ADM,2006-03-31,0.3909090909090909,0.06816709797808061,22,0.54,2006-05-02,2.1871388619015275
ADM,2006-06-30,0.42344827586206896,0.09487871438499659,29,0.62,2006-08-01,2.0716103228419405
ADM,2006-09-30,0.5158333333333334,0.08162645887136591,12,0.61,2006-10-31,1.1536292026959378
ADM,2006-12-31,0.612,0.08095482821009702,20,0.67,2007-02-01,0.7164489293890696
